Interval	Avg	CI=0.95	Limite Inferior	Limite Superior
745	29.425	3.146	26.279	32.571
746	29.546	3.300	26.246	32.846
747	29.431	3.334	26.097	32.765
748	29.234	3.450	25.784	32.684
749	29.110	3.539	25.571	32.649
750	28.813	3.525	25.288	32.338
751	28.550	3.537	25.013	32.087
752	28.296	3.530	24.766	31.826
753	28.222	3.602	24.620	31.824
754	28.460	3.797	24.663	32.257
755	28.622	3.909	24.713	32.531
756	28.864	4.054	24.810	32.918
757	28.866	4.073	24.793	32.939
758	28.746	4.045	24.701	32.791
759	28.616	4.018	24.598	32.634
760	28.629	4.118	24.511	32.747
761	28.683	4.220	24.463	32.903
762	28.908	4.318	24.590	33.226
763	29.092	4.366	24.726	33.458
764	29.166	4.361	24.805	33.527
765	29.458	4.561	24.897	34.019
766	29.346	4.628	24.718	33.974
767	29.374	4.466	24.908	33.840
