2018-04-06T16:56:06,989Z	12,795466
2018-04-06T16:56:07,113Z	12,673784
2018-04-06T16:56:07,156Z	12,636561
2018-04-06T16:56:07,460Z	12,324939
2018-04-06T16:56:07,617Z	12,170275
2018-04-06T16:56:08,124Z	11,670602
2018-04-06T16:56:08,374Z	13,416363
2018-04-06T16:56:08,508Z	13,275774
2018-04-06T16:56:08,934Z	12,89845
2018-04-06T16:56:09,134Z	12,666895
2018-04-06T16:56:09,214Z	12,570422
2018-04-06T16:56:09,384Z	12,415983
2018-04-06T16:56:09,883Z	11,903317
2018-04-06T16:56:10,149Z	13,635186
2018-04-06T16:56:10,367Z	13,418474
2018-04-06T16:56:10,379Z	13,417865
2018-04-06T16:56:10,734Z	13,136751
2018-04-06T16:56:10,767Z	13,136173
2018-04-06T16:56:11,105Z	12,738838
2018-04-06T16:56:11,366Z	12,419945
2018-04-06T16:56:11,869Z	11,916719
2018-04-06T16:56:12,367Z	11,420926
2018-04-06T16:56:12,882Z	10,917199
2018-04-06T16:56:12,936Z	10,850249
2018-04-06T16:56:12,995Z	14,793081
2018-04-06T16:56:13,057Z	14,727875
2018-04-06T16:56:13,629Z	14,29804
2018-04-06T16:56:13,712Z	14,111331
2018-04-06T16:56:13,739Z	14,102442
2018-04-06T16:56:14,113Z	13,673444
2018-04-06T16:56:14,613Z	13,171876
2018-04-06T16:56:14,693Z	15,092471
2018-04-06T16:56:14,807Z	14,976794
2018-04-06T16:56:14,863Z	14,921958
2018-04-06T16:56:15,157Z	14,627026
2018-04-06T16:56:15,365Z	14,421774
2018-04-06T16:56:15,615Z	14,171606
2018-04-06T16:56:16,113Z	13,676369
2018-04-06T16:56:16,613Z	13,177193
2018-04-06T16:56:17,142Z	12,677217
2018-04-06T16:56:17,364Z	12,426827
2018-04-06T16:56:17,616Z	12,175973
2018-04-06T16:56:18,193Z	11,708249
2018-04-06T16:56:18,370Z	11,443863
2018-04-06T16:56:18,614Z	11,177208
2018-04-06T16:56:18,863Z	10,92671
2018-04-06T16:56:19,016Z	11,109889
2018-04-06T16:56:19,096Z	12,692346
2018-04-06T16:56:19,190Z	12,603973
2018-04-06T16:56:19,366Z	12,424777
2018-04-06T16:56:19,613Z	12,176685
2018-04-06T16:56:20,113Z	11,67724
2018-04-06T16:56:20,719Z	12,634516
2018-04-06T16:56:20,753Z	12,585531
2018-04-06T16:56:20,834Z	12,95555
2018-04-06T16:56:20,867Z	12,922817
2018-04-06T16:56:21,148Z	12,65842
2018-04-06T16:56:21,153Z	12,657516
2018-04-06T16:56:21,211Z	14,579955
2018-04-06T16:56:21,461Z	14,331035
2018-04-06T16:56:21,613Z	14,177287
2018-04-06T16:56:22,113Z	13,676024
2018-04-06T16:56:22,363Z	13,425794
2018-04-06T16:56:23,162Z	12,656686
2018-04-06T16:56:23,617Z	12,176865
2018-04-06T16:56:23,994Z	13,796975
2018-04-06T16:56:24,113Z	13,678113
2018-04-06T16:56:24,257Z	13,532689
2018-04-06T16:56:24,363Z	13,428036
2018-04-06T16:56:24,865Z	12,928175
2018-04-06T16:56:25,274Z	12,611854
2018-04-06T16:56:25,609Z	12,208285
2018-04-06T16:56:25,865Z	11,926832
2018-04-06T16:56:26,139Z	11,67323
2018-04-06T16:56:26,614Z	11,181474
2018-04-06T16:56:26,867Z	10,931243
2018-04-06T16:56:27,216Z	12,58104
2018-04-06T16:56:27,376Z	12,428351
2018-04-06T16:56:27,576Z	12,238968
2018-04-06T16:56:27,824Z	12,027531
2018-04-06T16:56:28,200Z	11,600981
2018-04-06T16:56:28,364Z	13,430514
2018-04-06T16:56:28,465Z	13,331664
2018-04-06T16:56:28,614Z	13,183466
2018-04-06T16:56:28,863Z	12,933707
2018-04-06T16:56:29,114Z	12,683266
2018-04-06T16:56:29,462Z	14,333054
2018-04-06T16:56:29,510Z	14,284142
2018-04-06T16:56:29,613Z	14,182833
2018-04-06T16:56:29,875Z	13,932553
2018-04-06T16:56:30,363Z	13,433349
2018-04-06T16:56:30,613Z	13,18312
