Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
296.000000 0.001321 0.008621 0.009550 0.010430 0.012090 0.001397 0.009189 0.012147 0.008934 0.010280 0.083959
297.000000 0.001255 0.008206 0.009560 0.009371 0.010716 0.001247 0.008852 0.014087 0.010166 0.011473 0.084933
298.000000 0.001312 0.007999 0.007547 0.011043 0.010134 0.001208 0.009132 0.014079 0.009567 0.014164 0.086185
299.000000 0.001040 0.008764 0.000000 0.000000 0.018482 0.000000 0.009548 0.000000 0.005363 0.006332 0.049529
300.000000 0.043720 0.160988 1.614650 0.000000 0.016108 0.001286 0.113851 0.109547 0.068575 0.051039 2.179764
301.000000 0.000953 0.036772 0.049413 0.020502 0.010493 0.002004 0.010033 0.011248 0.009970 0.000000 0.151388
302.000000 0.000000 0.006606 0.000000 0.000000 0.000000 0.000000 0.120537 0.011915 0.075134 0.000000 0.214192
303.000000 0.001326 0.008383 0.009215 0.010928 0.012827 0.001163 0.007413 0.009787 0.008001 0.010949 0.079992
304.000000 0.001406 0.007128 0.007650 0.010507 0.010501 0.001558 0.008766 0.008734 0.009151 0.010010 0.075411
305.000000 0.001215 0.007551 0.008454 0.011235 0.011659 0.001149 0.008998 0.009613 0.010527 0.067792 0.138193
306.000000 0.001512 0.008069 0.008277 0.011466 0.010708 0.001568 0.010885 0.051420 0.010989 0.008781 0.123675
307.000000 0.001367 0.008182 0.007719 0.011506 0.011022 0.001386 0.010761 0.009809 0.010229 0.009987 0.081968
308.000000 0.001268 0.008257 0.006829 0.011311 0.011370 0.001268 0.025961 0.008648 0.009723 0.009782 0.094417
309.000000 0.001449 0.008057 0.007251 0.011201 0.010856 0.001274 0.009406 0.009380 0.010110 0.009489 0.078473
310.000000 0.001611 0.007261 0.005662 0.010730 0.031748 0.001591 0.008964 0.009057 0.009779 0.009500 0.095903
311.000000 0.001366 0.008356 0.006470 0.010209 0.009567 0.001363 0.009725 0.007926 0.009103 0.011058 0.075143
312.000000 0.001619 0.007830 0.007937 0.011280 0.010726 0.001695 0.011549 0.008909 0.011366 0.009504 0.082415
313.000000 0.001599 0.011150 0.006283 0.010709 0.012724 0.001555 0.008234 0.009726 0.010085 0.009553 0.081618
314.000000 0.000000 0.007198 0.000000 0.049126 0.012267 0.000000 0.015819 0.003087 0.006889 0.012161 0.106547
315.000000 0.003571 0.136013 0.025812 0.021425 0.732511 0.003610 0.035524 0.306535 0.063251 0.752052 2.080304
316.000000 0.001190 0.000000 0.009416 0.013575 0.014510 0.001291 0.007132 0.014242 0.011848 0.013883 0.087087
317.000000 0.002075 0.015676 0.018499 0.010905 0.010534 0.001679 0.013867 0.020855 0.050824 0.012785 0.157699
318.000000 0.000000 0.000000 0.047519 0.000000 0.033191 0.000000 0.000000 0.000000 0.009519 0.014552 0.104781
319.000000 0.001248 0.009160 0.008204 0.014455 0.008166 0.001191 0.010193 0.009605 0.008880 0.007990 0.079092
320.000000 0.001231 0.006905 0.006850 0.010638 0.013814 0.001204 0.007714 0.008301 0.009588 0.010186 0.076431
321.000000 0.001395 0.019447 0.008295 0.009545 0.011530 0.001273 0.008651 0.010743 0.009088 0.009462 0.089429
322.000000 0.001438 0.008438 0.008174 0.041720 0.080292 0.001316 0.038601 0.027994 0.049059 0.010003 0.267035
