Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
115.000000 0.000877 0.062282 0.006817 0.005821 0.008965 0.001079 0.009642 0.008925 0.009042 0.008544 0.000619 0.002334 0.002884 0.003624 0.003009 0.134464
116.000000 0.001056 0.013760 0.007238 0.005318 0.009633 0.001051 0.010304 0.009247 0.009869 0.008845 0.000889 0.004919 0.004583 0.005164 0.005552 0.097428
117.000000 0.001029 0.012225 0.006267 0.006766 0.010741 0.000953 0.009593 0.009365 0.008903 0.009600 0.000871 0.004001 0.004402 0.005137 0.004616 0.094469
118.000000 0.001021 0.013039 0.005709 0.006279 0.009053 0.000903 0.008844 0.007924 0.009286 0.008362 0.000788 0.004216 0.005054 0.004381 0.004488 0.089347
119.000000 0.000975 0.012217 0.006123 0.006123 0.010078 0.000842 0.009785 0.008527 0.008052 0.009824 0.000767 0.004211 0.003727 0.004613 0.004520 0.090384
120.000000 0.001097 0.011744 0.005879 0.007350 0.011388 0.000793 0.009458 0.008929 0.009787 0.007973 0.000938 0.005564 0.004776 0.005298 0.006159 0.097133
121.000000 0.000000 0.000000 0.000000 0.247682 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001003 0.004618 0.005411 0.004971 0.006691 0.270376
122.000000 0.001340 0.015189 0.011131 0.008742 0.013000 0.000788 0.014639 1.311998 0.012490 0.012536 0.000461 0.001554 0.001026 0.003333 0.001761 1.409988
123.000000 0.001368 0.036053 0.042407 0.124503 0.013552 0.000966 0.010069 0.009146 0.033436 0.011629 0.000367 0.000779 0.000552 0.003387 0.000732 0.288946
124.000000 0.000731 0.009125 0.006279 0.006931 0.009411 0.001072 0.008319 0.007728 0.007430 0.008266 0.000310 0.000533 0.000675 0.002865 0.000721 0.070396
125.000000 0.000922 0.011170 0.007796 0.009043 0.009370 0.000929 0.009609 0.007942 0.008470 0.009018 0.000277 0.000564 0.000812 0.003690 0.000706 0.080318
126.000000 0.000963 0.049802 0.007514 0.008882 0.009537 0.000980 0.009951 0.020686 0.008236 0.018507 0.000332 0.000620 0.000728 0.002413 0.000663 0.139814
127.000000 0.000943 0.009870 0.008111 0.009465 0.009831 0.001088 0.044996 0.008044 0.007936 0.009060 0.000440 0.001481 0.001157 0.003199 0.001599 0.117220
128.000000 0.001025 0.012856 0.007152 0.008603 0.009774 0.001019 0.008462 0.008034 0.008315 0.010177 0.001015 0.003842 0.004033 0.005591 0.005068 0.094966
129.000000 0.001063 0.011657 0.007563 0.008914 0.010248 0.001124 0.009416 0.008752 0.008466 0.008687 0.000712 0.003668 0.005288 0.004699 0.004195 0.094452
130.000000 0.000953 0.009984 0.008130 0.009220 0.011190 0.000920 0.009472 0.007929 0.008148 0.009256 0.000500 0.001829 0.001985 0.003315 0.001957 0.084788
131.000000 0.001044 0.011035 0.007154 0.008251 0.009314 0.001114 0.009538 0.008725 0.008763 0.010254 0.000296 0.000617 0.000452 0.002609 0.000542 0.079708
132.000000 0.001085 0.033303 0.007695 0.009338 0.008908 0.001118 0.009331 0.009282 0.008333 0.009328 0.000491 0.001530 0.001155 0.003305 0.001316 0.105518
133.000000 0.001244 0.010728 0.008532 0.008799 0.010380 0.001087 0.009259 0.008638 0.008590 0.008292 0.000511 0.002076 0.002213 0.003981 0.002354 0.086684
134.000000 0.001117 0.011163 0.007878 0.008730 0.008612 0.001159 0.010381 0.010334 0.008688 0.010485 0.000371 0.000581 0.000858 0.003226 0.000505 0.084088
135.000000 0.001207 0.008933 0.007636 0.008467 0.010912 0.001218 0.010349 0.008129 0.007644 0.009521 0.000814 0.003374 0.004253 0.004489 0.003414 0.090360
136.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000246 0.000482 0.000615 0.002619 0.000399 0.004361
137.000000 0.020148 0.055349 1.474577 1.515370 0.038672 0.001528 0.028087 1.446432 0.104688 0.000000 0.000425 0.001753 0.001471 0.002952 0.001625 4.693077
138.000000 0.001222 0.014456 0.009392 0.012812 0.015904 0.000829 0.014173 0.012391 0.012264 0.017088 0.000772 0.004100 0.003765 0.003947 0.004104 0.127219
139.000000 0.000000 0.000000 0.018681 0.008533 0.007239 0.001567 0.010798 0.000000 0.020698 0.008286 0.000342 0.000779 0.000797 0.002733 0.000623 0.081076
140.000000 0.001188 0.020472 0.008484 0.009834 0.009755 0.001128 0.009506 0.009044 0.008479 0.008556 0.000733 0.002884 0.002929 0.004273 0.003159 0.100424
141.000000 0.001223 0.009554 0.008471 0.008375 0.009491 0.001170 0.009130 0.039236 0.008900 0.019451 0.000888 0.003482 0.004660 0.005308 0.003815 0.133154
142.000000 0.001220 0.010310 0.008070 0.008872 0.026517 0.001146 0.010122 0.010157 0.008546 0.010527 0.000596 0.001632 0.001974 0.003033 0.001618 0.104340
143.000000 0.001238 0.009624 0.008337 0.009142 0.008839 0.001210 0.010184 0.010526 0.008227 0.008974 0.000615 0.002279 0.002997 0.004002 0.002131 0.088325
